gene_id	symbol	biotype	description
ENSG00000167193	CRK	protein_coding	CRK proto-oncogene, adaptor protein
ENSG00000177628	GBA1	protein_coding	glucosylceramidase beta 1
ENSG00000119321	FKBP15	protein_coding	FKBP prolyl isomerase family member 15
ENSG00000172889	EGFL7	protein_coding	EGF like domain multiple 7
ENSG00000261371	PECAM1	protein_coding	platelet and endothelial cell adhesion molecule 1
ENSG00000118960	HS1BP3	protein_coding	HCLS1 binding protein 3
ENSG00000170185	USP38	protein_coding	ubiquitin specific peptidase 38
ENSG00000134013	LOXL2	protein_coding	lysyl oxidase like 2
ENSG00000151715	TMEM45B	protein_coding	transmembrane protein 45B
ENSG00000089009	RPL6	protein_coding	ribosomal protein L6
ENSG00000122545	SEPTIN7	protein_coding	septin 7
ENSG00000105053	VRK3	protein_coding	VRK serine/threonine kinase 3
ENSG00000204941	PSG5	protein_coding	pregnancy specific beta-1-glycoprotein 5
ENSG00000178950	GAK	protein_coding	cyclin G associated kinase
ENSG00000060237	WNK1	protein_coding	WNK lysine deficient protein kinase 1
ENSG00000138829	FBN2	protein_coding	fibrillin 2
ENSG00000140750	ARHGAP17	protein_coding	Rho GTPase activating protein 17
ENSG00000237441	RGL2	protein_coding	ral guanine nucleotide dissociation stimulator like 2
ENSG00000166233	ARIH1	protein_coding	ariadne RBR E3 ubiquitin protein ligase 1
ENSG00000148737	TCF7L2	protein_coding	transcription factor 7 like 2
ENSG00000232859	LYRM9	protein_coding	LYR motif containing 9
ENSG00000184009	ACTG1	protein_coding	actin gamma 1
ENSG00000211445	GPX3	protein_coding	glutathione peroxidase 3
ENSG00000198865	CCDC152	protein_coding	coiled-coil domain containing 152
ENSG00000250722	SELENOP	protein_coding	selenoprotein P
ENSG00000167766	ZNF83	protein_coding	zinc finger protein 83
ENSG00000245532	NEAT1	lncRNA	nuclear paraspeckle assembly transcript 1
ENSG00000280109	PLAC4	lncRNA	placenta enriched 4
ENSG00000119535	CSF3R	protein_coding	colony stimulating factor 3 receptor
ENSG00000234745	HLA-B	protein_coding	major histocompatibility complex, class I, B
ENSG00000099958	DERL3	protein_coding	derlin 3
ENSG00000163694	RBM47	protein_coding	RNA binding motif protein 47
